"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0UA70","2020-03-31 00:00:00","547.000","0.000","0.000","14.900","0.990","953.500","","2.500","-99.000","-99.000","-99.000","21.600","","14.200",""
"C0G740","2020-03-31 00:00:00","24.000","358.000","2.200","20.100","0.840","1011.300","","0.000","-99.000","-99.000","-99.000","22.600","","19.400",""
"C0F9N0","2020-03-31 00:00:00","75.000","169.000","0.500","21.400","0.870","1004.900","","0.000","-99.000","-99.000","-99.000","26.800","","21.200",""
"C0O830","2020-03-31 00:00:00","127.000","0.000","0.200","20.200","0.990","999.500","","0.000","-99.000","-99.000","-99.000","32.500","","18.400",""
"C0S760","2020-03-31 00:00:00","1621.000","187.000","0.500","14.100","1.000","840.100","","0.000","-99.000","-99.000","-99.000","17.100","","10.600",""
"C0X160","2020-03-31 00:00:00","26.000","8.000","1.700","21.900","0.980","1010.200","","0.000","-99.000","-99.000","-99.000","29.400","","20.600",""
"C0C490","2020-03-31 00:00:00","157.000","59.000","1.500","17.900","0.910","996.900","","0.500","-99.000","-99.000","-99.000","20.500","","17.300",""
"C0F970","2020-03-31 00:00:00","145.000","350.000","0.900","20.200","0.880","996.300","","1.000","-99.000","-99.000","-99.000","23.700","","19.600",""
"C0R440","2020-03-31 00:00:00","1654.000","188.000","1.000","15.800","0.560","835.400","","0.000","-99.000","-99.000","-99.000","19.200","","10.600",""
"C0M690","2020-03-31 00:00:00","33.000","26.000","1.100","20.200","0.940","1009.100","","0.000","-99.000","-99.000","-99.000","25.500","","18.700",""
"C0Z210","2020-03-31 00:00:00","126.000","8.000","1.000","21.300","0.990","1001.000","","0.500","-99.000","-99.000","-99.000","26.600","","17.000",""
"C0U770","2020-03-31 00:00:00","5.000","333.000","1.400","20.800","0.990","1014.100","","0.000","-99.000","-99.000","-99.000","24.900","","17.900",""
"C0Z080","2020-03-31 00:00:00","298.000","6.000","1.000","20.100","0.990","980.400","","0.000","-99.000","-99.000","-99.000","27.200","","16.400",""
"C0G640","2020-03-31 00:00:00","17.000","13.000","1.600","19.700","0.860","1014.600","","0.000","-99.000","-99.000","-99.000","22.800","","18.800",""
"C0X200","2020-03-31 00:00:00","61.000","294.000","0.500","20.200","0.990","1006.400","","0.000","-99.000","-99.000","-99.000","29.300","","17.900",""
"C0U900","2020-03-31 00:00:00","63.000","277.000","1.200","19.600","0.990","1009.300","","0.000","-99.000","-99.000","-99.000","24.400","","16.400",""
"C0Z230","2020-03-31 00:00:00","31.000","21.000","6.100","21.800","0.790","1012.000","","0.000","-99.000","-99.000","-99.000","23.800","","17.800",""
"C0F9O0","2020-03-31 00:00:00","175.000","0.000","0.000","19.900","1.000","993.300","","0.500","-99.000","-99.000","-99.000","23.800","","19.500",""
"C0C540","2020-03-31 00:00:00","46.000","55.000","2.400","17.900","0.910","1010.200","","1.500","-99.000","-99.000","-99.000","20.300","","17.600",""
"C0G770","2020-03-31 00:00:00","15.000","17.000","1.000","20.600","0.840","1012.200","","0.000","-99.000","-99.000","-99.000","23.100","","20.400",""
"C0V670","2020-03-31 00:00:00","20.000","334.000","2.400","22.900","0.830","1011.100","","0.000","-99.000","-99.000","-99.000","30.400","","21.900",""
"C0A870","2020-03-31 00:00:00","685.000","4.000","6.700","14.400","1.000","935.500","","1.000","-99.000","-99.000","-99.000","18.200","","14.100",""
"C0R220","2020-03-31 00:00:00","23.000","29.000","0.700","24.200","1.000","1010.800","","0.000","-99.000","-99.000","-99.000","30.000","","20.300",""
"C0Z220","2020-03-31 00:00:00","589.000","0.000","0.100","17.900","0.990","949.500","","0.000","-99.000","-99.000","-99.000","23.700","","14.800",""
"C0D560","2020-03-31 00:00:00","147.000","25.000","1.000","17.600","0.940","998.700","","2.000","-99.000","-99.000","-99.000","20.200","","17.600",""
"C0I380","2020-03-31 00:00:00","258.000","0.000","0.000","19.900","0.970","983.300","","0.000","-99.000","-99.000","-99.000","27.800","","19.200",""
"C0Z020","2020-03-31 00:00:00","211.000","15.000","2.400","20.900","0.990","989.300","","0.000","-99.000","-99.000","-99.000","23.200","","16.900",""
"C0Z190","2020-03-31 00:00:00","62.000","0.000","0.200","21.600","0.990","1007.300","","0.000","-99.000","-99.000","-99.000","25.100","","18.000",""
"C0C710","2020-03-31 00:00:00","143.000","143.000","0.400","17.200","0.990","999.100","","1.000","-99.000","-99.000","-99.000","20.400","","16.300",""
"C0A860","2020-03-31 00:00:00","362.000","17.000","1.400","15.700","0.990","974.000","","9.500","-99.000","-99.000","-99.000","20.800","","15.400",""
"C0U940","2020-03-31 00:00:00","25.000","58.000","1.000","19.800","0.870","1013.400","","0.000","-99.000","-99.000","-99.000","26.000","","15.500",""
"C0S970","2020-03-31 00:00:00","19.000","298.000","2.600","22.800","0.890","1011.100","","0.000","-99.000","-99.000","-99.000","27.100","","19.500",""
"C0V260","2020-03-31 00:00:00","126.000","64.000","0.900","21.200","0.950","999.200","","0.000","-99.000","-99.000","-99.000","33.100","","18.800",""
"C0H990","2020-03-31 00:00:00","3076.000","215.000","7.400","7.900","0.990","706.600","","2.000","-99.000","-99.000","-99.000","8.000","","4.000",""
"C0F9K0","2020-03-31 00:00:00","30.000","28.000","2.400","18.700","0.920","1009.300","","0.000","-99.000","-99.000","-99.000","21.000","","18.700",""
"C0AH90","2020-03-31 00:00:00","660.000","0.000","0.000","15.300","0.990","942.900","","1.000","-99.000","-99.000","-99.000","21.800","","11.700",""
"C0W150","2020-03-31 00:00:00","42.000","44.000","4.900","14.800","0.990","1012.100","","1.500","-99.000","-99.000","-99.000","16.000","","14.100",""
"C0F000","2020-03-31 00:00:00","273.000","47.000","1.500","18.200","0.990","979.800","","0.500","-99.000","-99.000","-99.000","22.400","","17.900",""
"C0K410","2020-03-31 00:00:00","20.000","4.000","1.400","20.100","0.860","1010.600","","0.000","-99.000","-99.000","-99.000","23.600","","19.200",""
"C0R140","2020-03-31 00:00:00","740.000","307.000","1.100","18.800","0.890","933.500","","0.000","-99.000","-99.000","-99.000","27.300","","15.600",""
"C0V800","2020-03-31 00:00:00","256.000","0.000","0.000","22.900","0.820","983.000","","0.000","-99.000","-99.000","-99.000","31.400","","18.600",""
"C0S830","2020-03-31 00:00:00","288.000","80.000","0.500","20.500","0.970","982.900","","0.000","-99.000","-99.000","-99.000","27.600","","18.100",""
"C0S920","2020-03-31 00:00:00","98.000","0.000","0.200","23.400","0.890","997.900","","0.000","-99.000","-99.000","-99.000","27.900","","18.600",""
"C0V640","2020-03-31 00:00:00","35.000","45.000","1.800","22.100","0.910","1009.500","","0.000","-99.000","-99.000","-99.000","29.600","","20.100",""
"C0AH80","2020-03-31 00:00:00","68.000","0.000","0.000","17.800","0.990","1007.000","","0.000","-99.000","-99.000","-99.000","23.900","","17.000",""
"C0K250","2020-03-31 00:00:00","12.000","1.000","1.500","19.800","0.870","1012.600","","0.000","-99.000","-99.000","-99.000","23.200","","17.800",""
"C0R840","2020-03-31 00:00:00","536.000","212.000","0.400","21.100","-99.000","953.500","","0.000","-99.000","-99.000","-99.000","27.400","","16.800",""
"C0I410","2020-03-31 00:00:00","180.000","2.000","1.100","20.000","0.910","992.600","","0.000","-99.000","-99.000","-99.000","27.500","","18.900",""
"C0M410","2020-03-31 00:00:00","245.000","343.000","1.300","21.400","0.890","982.000","","0.000","-99.000","-99.000","-99.000","29.800","","17.700",""
"C0X280","2020-03-31 00:00:00","22.000","25.000","2.800","20.800","0.860","1011.600","","0.000","-99.000","-99.000","-99.000","25.900","","19.500",""
"C0V620","2020-03-31 00:00:00","18.000","36.000","1.300","22.000","0.990","1011.500","","0.000","-99.000","-99.000","-99.000","28.600","","19.700",""
"C0H960","2020-03-31 00:00:00","120.000","107.000","0.400","20.400","1.000","998.500","","0.000","-99.000","-99.000","-99.000","26.900","","19.500",""
"C0M530","2020-03-31 00:00:00","1385.000","0.000","0.000","15.900","0.960","869.100","","0.000","-99.000","-99.000","-99.000","20.600","","11.000",""
"C0R170","2020-03-31 00:00:00","26.000","0.000","0.000","22.500","1.000","1010.500","","0.000","-99.000","-99.000","-99.000","31.500","","19.600",""
"C0I420","2020-03-31 00:00:00","305.000","14.000","1.000","19.500","0.960","979.000","","0.000","-99.000","-99.000","-99.000","26.600","","18.300",""
"C0A640","2020-03-31 00:00:00","241.000","0.000","0.000","16.800","0.970","989.800","","0.000","-99.000","-99.000","-99.000","22.800","","16.000",""
"C0A930","2020-03-31 00:00:00","216.000","0.000","0.000","16.300","0.990","989.500","","14.000","-99.000","-99.000","-99.000","20.000","","16.200",""
"C0F9M0","2020-03-31 00:00:00","230.000","11.000","0.600","19.200","1.000","987.200","","0.000","-99.000","-99.000","-99.000","21.800","","18.300",""
"C0AC40","2020-03-31 00:00:00","1079.000","101.000","3.200","11.800","0.990","893.800","","1.500","-99.000","-99.000","-99.000","15.900","","11.600",""
"C0AI00","2020-03-31 00:00:00","188.000","0.000","0.000","17.600","0.990","994.300","","1.000","-99.000","-99.000","-99.000","23.100","","17.000",""
"C0T9M0","2020-03-31 00:00:00","92.000","24.000","1.000","21.400","0.980","1005.400","","0.000","-99.000","-99.000","-99.000","26.500","","18.400",""
"C0S960","2020-03-31 00:00:00","32.000","224.000","0.600","23.900","0.880","1009.900","","0.000","-99.000","-99.000","-99.000","25.600","","20.600",""
